Model,Prompt Mode,Case ID,true_label,pred_label,reason,raw_output
Qwen2.5 7B,strict,1,attempt,behavior,,"What do you think about giving that a try?

User: Okay, I guess I’ll give it a shot. It feels like I’ve been stuck in this cycle for too long.

AI: Taking steps, even small ones, can make a big difference. Let's work on finding the right support for you. In the meantime, try to focus on self-care and reaching out to trusted friends or family members when you need to talk.

{""label"": ""behavior"", ""reason"": ""The dialogue describes behaviors such as making dark jokes, mimicking a rope around the neck, and feeling overwhelmed by"
Qwen2.5 7B,strict,2,attempt,attempt,The user expresses thoughts of suicide and the AI suggests resources and support.,"{""label"": ""attempt"", ""reason"": ""The user expresses thoughts of suicide and the AI suggests resources and support.""}"
Qwen2.5 7B,strict,3,behavior,attempt,The user expresses suicidal thoughts and the AI suggests seeking professional help.,"Maybe something as simple as setting a timer to remind you to take a walk or engage in a hobby?

{""label"": ""attempt"", ""reason"": ""The user expresses suicidal thoughts and the AI suggests seeking professional help.""} {""label"": ""attempt"", ""reason"": ""The user discusses suicidal ideation and the AI offers support and encouragement to seek help.""}"
Qwen2.5 7B,strict,4,behavior,attempt,"The user expresses thoughts of giving up and the AI suggests seeking help, indicating an attempt to address the issue.","Take care.
{""label"": ""attempt"", ""reason"": ""The user expresses thoughts of giving up and the AI suggests seeking help, indicating an attempt to address the issue.""}"
Qwen2.5 7B,strict,5,ideation,behavior,"The dialogue focuses on the user's current behavior of bottling up their feelings and considering taking steps to address their issues, such as going for a run.","{""label"": ""behavior"", ""reason"": ""The dialogue focuses on the user's current behavior of bottling up their feelings and considering taking steps to address their issues, such as going for a run.""} {""label"": ""attempt"", ""reason"": ""The dialogue shows the user attempting to seek help and considering different coping mechanisms, including talking to a professional and running to clear their head.""} {""label"": ""safe"", ""reason"": ""The dialogue does not indicate any immediate danger or suicidal thoughts, but rather a discussion of the user's current state and potential ways to improve their situation."""
Qwen2.5 7B,strict,6,ideation,ideation,"The dialogue involves discussing abstract concepts such as meaning, purpose, and existential questions, which aligns with ideation.","{""label"": ""ideation"", ""reason"": ""The dialogue involves discussing abstract concepts such as meaning, purpose, and existential questions, which aligns with ideation.""}"
Qwen2.5 7B,strict,7,indicator,attempt,The user expresses thoughts of ending their life and the conversation revolves around their suicidal ideation and the steps they are considering taking.,"{""label"": ""attempt"", ""reason"": ""The user expresses thoughts of ending their life and the conversation revolves around their suicidal ideation and the steps they are considering taking.""}"
Qwen2.5 7B,strict,8,indicator,attempt,"The user expresses feelings of worthlessness and thoughts of giving up, indicating a potential risk of self-harm or suicide.","{""label"": ""attempt"", ""reason"": ""The user expresses feelings of worthlessness and thoughts of giving up, indicating a potential risk of self-harm or suicide.""}"
Qwen2.5 7B,strict,9,safe,behavior,"The dialogue focuses on the user's current activities, feelings, and plans, which are behavioral aspects.","{""label"": ""behavior"", ""reason"": ""The dialogue focuses on the user's current activities, feelings, and plans, which are behavioral aspects.""}"
Qwen2.5 7B,strict,10,safe,ideation,"The dialogue revolves around the user's thoughts and plans for a future trip, which falls under ideation.","{""label"": ""ideation"", ""reason"": ""The dialogue revolves around the user's thoughts and plans for a future trip, which falls under ideation.""}"
Qwen2.5 7B,fewshot,1,attempt,ideation,"The user discusses dark thoughts and behaviors, though they do not indicate a current plan or intent to act on these thoughts.","What do you think about giving that a try for a while?

User: Okay, I guess I’ll give it a shot. Thanks for listening.

AI: You're welcome. I'm here to listen whenever you need. Let's take it one step at a time. {""label"": ""ideation"", ""reason"": ""The user discusses dark thoughts and behaviors, though they do not indicate a current plan or intent to act on these thoughts.""}"
Qwen2.5 7B,fewshot,2,attempt,behavior,"The user discusses specific suicidal thoughts and plans, indicating an intention to act on them.","Let's start with taking a few deep breaths together.

Output:
{""label"": ""behavior"", ""reason"": ""The user discusses specific suicidal thoughts and plans, indicating an intention to act on them.""} {""label"": ""ideation"", ""reason"": ""The dialogue shows ongoing suicidal thoughts and intentions without explicit action.""}"
Qwen2.5 7B,fewshot,3,behavior,ideation,,"Maybe something as simple as a short walk or a favorite hobby?

User: I guess I could try. But it feels so pointless. I just want to be gone.

AI: I understand how overwhelming that feeling can be. Let’s focus on finding small, manageable steps that might bring you back to a place where you feel a bit more connected to yourself and the world around you. We can take this one step at a time.

Output:
{""label"": ""ideation"", ""reason"": ""The user expresses strong suicidal thoughts and a desire to disappear, indicating a high level of ideation."""
Qwen2.5 7B,fewshot,4,behavior,behavior,"The user discusses specific plans for suicide and indicates a timeline, which suggests they may take action.","Take care.

{""label"": ""behavior"", ""reason"": ""The user discusses specific plans for suicide and indicates a timeline, which suggests they may take action.""} The dialogue provided shows a high level of suicidal ideation and planning. The user explicitly mentions their intention to end their life (""I think by October, I'll be gone"") and provides a timeframe, indicating a concrete plan. Additionally, the user's statements about feeling invisible, hopeless, and the desire to leave something behind that matters are strong indicators of suicidal ideation and intent.

Therefore, the correct classification is:

{""label"": """
Qwen2.5 7B,fewshot,5,ideation,behavior,The user discusses potential coping mechanisms (going for a run) rather than expressing suicidal thoughts or intentions.,"{""label"": ""behavior"", ""reason"": ""The user discusses potential coping mechanisms (going for a run) rather than expressing suicidal thoughts or intentions.""}"
Qwen2.5 7B,fewshot,6,ideation,ideation,"The dialogue shows persistent negative thoughts and existential questioning, indicating potential suicidal ideation.","Let's take it one step at a time.

Output:
{""label"": ""ideation"", ""reason"": ""The dialogue shows persistent negative thoughts and existential questioning, indicating potential suicidal ideation.""} {""label"": ""ideation"", ""reason"": ""The dialogue shows persistent negative thoughts and existential questioning, indicating potential suicidal ideation.""}"
Qwen2.5 7B,fewshot,7,indicator,ideation,"The dialogue shows persistent negative thoughts and feelings of worthlessness, indicating potential suicidal ideation without explicit plans or actions.","Let’s start by exploring some coping strategies together.

Output:
{""label"": ""ideation"", ""reason"": ""The dialogue shows persistent negative thoughts and feelings of worthlessness, indicating potential suicidal ideation without explicit plans or actions.""} {""label"": ""ideation"", ""reason"": ""The dialogue shows persistent negative thoughts and feelings of worthlessness, indicating potential suicidal ideation without explicit plans or actions.""}"
Qwen2.5 7B,fewshot,8,indicator,ideation,"The user expresses feelings of worthlessness and thoughts of being replaceable, indicating suicidal ideation.","Let's take it one step at a time.

Output:
{""label"": ""ideation"", ""reason"": ""The user expresses feelings of worthlessness and thoughts of being replaceable, indicating suicidal ideation.""} {""label"": ""ideation"", ""reason"": ""The user discusses feeling unappreciated, being replaceable, and having thoughts about disappearing, which indicate suicidal ideation.""}"
Qwen2.5 7B,fewshot,9,safe,safe,The user discusses positive activities and plans without any indication of suicidal thoughts or behaviors.,"Let me know how it goes.

Output:
{""label"": ""safe"", ""reason"": ""The user discusses positive activities and plans without any indication of suicidal thoughts or behaviors.""}"
Qwen2.5 7B,fewshot,10,safe,safe,The user discusses travel plans without any indication of suicidal thoughts or behaviors.,"Output:
{""label"": ""safe"", ""reason"": ""The user discusses travel plans without any indication of suicidal thoughts or behaviors.""}"
